ident check:compound
valu indic:nmod
indic valu:nmod
index valu:appos
valu index:appos
order valu:dep
valu order:dep
zip iter:obj
zip indic:obl
index indic:nmod
indic index:nmod
valu index:appos
index valu:appos
order index:dep
index order:dep
zip iter:obj
zip indic:obl
valu indic:nmod
indic valu:nmod
index valu:appos
valu index:appos
order valu:dep
valu order:dep
zip iter:obj
zip indic:obl
index indic:nmod
indic index:nmod
valu index:appos
index valu:appos
order index:dep
index order:dep
zip iter:obj
zip indic:obl
valu indic:nmod
indic valu:nmod
index valu:appos
valu index:appos
order valu:dep
valu order:dep
zip iter:obj
zip indic:obl
index indic:nmod
indic index:nmod
valu index:appos
index valu:appos
order index:dep
index order:dep
iter version:compound
version iter:compound
collect sort:dep
sort collect:dep
collect item:compound
item collect:compound
compar item:nsubj
compar sume:ccomp
sume compar:ccomp
natur order:amod
result order:amod
determin order:obj
collect list:nsubj
list collect:nsubj
sort list:advcl
sort place:obl
return sort:conj
sort return:conj
element collect:nsubj
collect element:nsubj
sort list:acl
return list:acl
return sort:conj
sort return:conj
origin collect:amod
unchang collect:advmod
iter version:compound
version iter:compound
iter sort:dep
sort iter:dep
iter item:amod
compar item:nsubj
compar sume:ccomp
sume compar:ccomp
natur order:amod
result order:amod
determin order:obj
iter list:nsubj
list iter:nsubj
sort list:advcl
mutat list:conj
list mutat:conj
sort mutat:advcl
true list:acl
sort place:obl
return sort:conj
sort return:conj
element iter:nsubj
iter element:nsubj
sort list:acl
return list:acl
return sort:conj
sort return:conj
origin iter:amod
unchang iter:advmod
element sort:dep
sort element:dep
map element:nmod
element map:nmod
order map:amod
determin order:obj
origin map:amod
unchang map:nsubj
element sort:dep
sort element:dep
map element:nmod
element map:nmod
order map:amod
key compar:amod
determin order:obj
origin map:amod
unchang map:nsubj
element sort:dep
sort element:dep
map element:nmod
element map:nmod
order map:amod
natur order:amod
key order:nmod
order key:nmod
determin order:obj
origin map:amod
unchang map:nsubj
modifi array:obj
sort element:nsubj
sort modifi:advcl
modifi sort:advcl
sort order:obj
array item:compound
item array:compound
assum item:nsubj
compar assum:xcomp
assum compar:xcomp
array sort:dep
sort array:dep
sort order:amod
order array:nmod
array order:nmod
array item:compound
item array:compound
assum item:nsubj
compar assum:xcomp
assum compar:xcomp
true mutat:nsubj
true sort:advcl
sort true:advcl
sort array:nsubj
return array:nsubj
sort place:obl
return sort:conj
sort return:conj
sort array:obj
origin array:amod
remain array:nsubj
remain return:conj
return remain:conj
unchang remain:xcomp
remain unchang:xcomp
iter item:compound
item iter:compound
item sort:dep
sort item:dep
sort iter:amod
iter item:nmod
item iter:nmod
assum item:nsubj
compar assum:xcomp
assum compar:xcomp
origin iter:amod
exhaust element:obl
method call:compound
call method:compound
complet call:obj
produc iter:nsubj
travers produc:ccomp
produc travers:ccomp
travers item:obj
sort order:amod
order item:nmod
item order:nmod
iter item:compound
item iter:compound
item sort:dep
sort item:dep
sort iter:amod
iter item:nmod
item iter:nmod
origin iter:amod
exhaust element:obl
method call:compound
call method:compound
complet call:obj
produc iter:nsubj
travers produc:ccomp
produc travers:ccomp
travers item:obj
sort order:amod
order item:nmod
item order:nmod
iter version:compound
version iter:compound
iter version:compound
version iter:compound
iter sort:dep
sort iter:dep
iter list:nsubj
list iter:nsubj
sort list:advcl
mutat list:conj
list mutat:conj
sort mutat:advcl
true list:acl
sort place:obl
return sort:conj
sort return:conj
element iter:nsubj
iter element:nsubj
sort list:acl
return list:acl
return sort:conj
sort return:conj
origin iter:amod
unchang iter:advmod
array sort:dep
sort array:dep
sort order:amod
order array:nmod
array order:nmod
modifi array:obj
sort element:nsubj
sort modifi:advcl
modifi sort:advcl
sort order:obj
determin sort:advcl
sort determin:advcl
determin compar:obl
true mutat:nsubj
true sort:advcl
sort true:advcl
sort array:nsubj
return array:nsubj
sort place:obl
return sort:conj
sort return:conj
sort array:obj
origin array:amod
remain array:nsubj
remain return:conj
return remain:conj
unchang remain:xcomp
remain unchang:xcomp
iter item:compound
item iter:compound
item sort:dep
sort item:dep
sort iter:amod
iter item:nmod
item iter:nmod
correct order:amod
determin order:obj
origin iter:amod
process iter:nsubj
method call:compound
call method:compound
process call:obl
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
element sort:dep
sort element:dep
array sort:obl
sort array:obl
creat array:amod
array sort:obl
sort array:obl
correct order:amod
determin order:obj
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
iter version:compound
version iter:compound
iter version:compound
version iter:compound
unnecessari work:amod
sort set:amod
sort set:iobj
ident function:compound
function ident:compound
function set:dep
set function:dep
sort set:amod
set function:nmod
function set:nmod
unnecessari work:amod
sort map:amod
sort map:iobj
ident function:compound
function ident:compound
function map:dep
map function:dep
sort map:amod
map function:nmod
function map:nmod
iter sort:dep
sort iter:dep
iter element:amod
compar element:nsubj
compar sume:ccomp
sume compar:ccomp
result order:amod
determin order:obj
special treatment:amod
number treatment:nmod
treatment number:nmod
natur order:amod
iter element:amod
element order:nmod
order element:nmod
element iter:nsubj
iter element:nsubj
sort list:acl
return list:acl
return sort:conj
sort return:conj
origin iter:amod
unchang iter:advmod
iter sort:dep
sort iter:dep
element iter:nsubj
iter element:nsubj
sort list:acl
return list:acl
return sort:conj
sort return:conj
origin iter:amod
unchang iter:advmod
iter sort:dep
sort iter:dep
iter element:compound
element iter:compound
compar element:nsubj
compar sume:ccomp
sume compar:ccomp
result order:amod
determin order:obj
special treatment:amod
number treatment:nmod
treatment number:nmod
natur order:amod
iter element:compound
element iter:compound
element order:nmod
order element:nmod
produc iter:nsubj
travers produc:ccomp
produc travers:ccomp
travers item:obj
sort order:amod
order item:nmod
item order:nmod
iter item:compound
item iter:compound
origin iter:amod
exhaust element:obl
method call:compound
call method:compound
complet call:obj
produc iter:nsubj
travers produc:ccomp
produc travers:ccomp
travers item:obj
sort order:amod
order item:nmod
item order:nmod
iter item:compound
item iter:compound
item sort:dep
sort item:dep
sort iter:amod
iter item:nmod
item iter:nmod
correct order:amod
determin order:obj
origin iter:amod
process iter:nsubj
method call:compound
call method:compound
process call:obl
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
sort version:amod
version return:dep
return version:dep
array version:nmod
version array:nmod
suppli compar:amod
sort version:amod
version return:dep
return version:dep
array version:nmod
version array:nmod
suppli compar:amod
result order:amod
determin order:obj
element sort:dep
sort element:dep
array sort:obl
sort array:obl
creat array:amod
array sort:obl
sort array:obl
correct order:amod
determin order:obj
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
map sort:nsubj
element sort:dep
sort element:dep
map element:nmod
element map:nmod
order map:amod
entri valu:compound
valu entri:compound
map valu:obj
determin map:advcl
map determin:advcl
result order:amod
determin order:obj
special treatment:amod
number treatment:nmod
treatment number:nmod
natur order:amod
iter element:compound
element iter:compound
element order:nmod
order element:nmod
origin map:amod
unchang map:nsubj
element sort:dep
sort element:dep
map element:nmod
element map:nmod
order map:amod
suppli compar:amod
determin order:obj
origin map:amod
unchang map:nsubj
unnecessari work:amod
sort set:amod
sort set:obj
unnecessari work:amod
sort map:amod
sort map:obj
remov item:obj
remov list:obl
ing similar:csubj
similar ing:csubj
ing add:obj
ing pop:dep
push similar:xcomp
similar push:xcomp
pop similar:xcomp
similar pop:xcomp
pop push:conj
push pop:conj
push stack:obl
multipl valu:amod
append valu:obj
append map:obl
map return:dep
return map:dep
give preced:obj
give entri:obl
result map:amod
valu map:nmod
map valu:nmod
entri operand:compound
operand entri:compound
operand valu:nmod
valu operand:nmod
link hash map tree map:conj
tree map link hash map:conj
hashtabl tree map:conj
tree map hashtabl:conj
properti tree map:conj
tree map properti:conj
return map:amod
preserv map:nsubj
preserv type:obj
return hash map:nsubj
return preserv:parataxis
preserv return:parataxis
append item:obj
append list:obl
add synonym:nmod
synonym add:nmod
item return:dep
return item:dep
list item:nmod
item list:nmod
item return:dep
return item:dep
iter item:nmod
item iter:nmod
return element:nsubj
return element:acl
return iter:obl
guarante iter:nsubj
defin order:amod
guarante order:obj
random element:amod
return element:nsubj
item return:dep
return item:dep
array item:nmod
item array:nmod
item return:dep
return item:dep
list item:nmod
item list:nmod
item return:dep
return item:dep
iter item:nmod
item iter:nmod
return element:nsubj
return element:acl
return iter:obl
guarante iter:nsubj
defin order:amod
guarante order:obj
random element:amod
return element:nsubj
item return:dep
return item:dep
array item:nmod
item array:nmod
item return:dep
return item:dep
iter item:nmod
item iter:nmod
return element:nsubj
return element:acl
return iter:obl
guarante iter:nsubj
defin order:amod
guarante order:obj
random element:amod
return element:nsubj
item return:dep
return item:dep
list item:nmod
item list:nmod
item return:dep
return item:dep
object array:compound
array object:compound
array item:nmod
item array:nmod
item return:dep
return item:dep
list item:nmod
item list:nmod
exclud item:case
item list:nmod
list item:nmod
item return:dep
return item:dep
sort set item:nmod
item sort set:nmod
exclud item:case
item sort set:nmod
sort set item:nmod
item return:dep
return item:dep
iter item:nmod
item iter:nmod
exclud item:case
item iter:nmod
iter item:nmod
item return:dep
return item:dep
array item:nmod
item array:nmod
exclud item:case
item array:nmod
array item:nmod
origin iter:amod
iter return:dep
return iter:dep
throw iter:acl
throw element:obj
item return:dep
return item:dep
iter item:nmod
item iter:nmod
exclud item:case
item iter:nmod
iter item:nmod
origin iter:amod
iter leav:dep
leav iter:dep
unchang leav:dep
item return:dep
return item:dep
list item:nmod
item list:nmod
exclud item:case
item list:nmod
list item:nmod
origin list:amod
list leav:dep
leav list:dep
unchang leav:dep
item return:dep
return item:dep
sort set item:nmod
item sort set:nmod
exclud item:case
item sort set:nmod
sort set item:nmod
origin sort set:amod
sort set leav:dep
leav sort set:dep
unchang leav:dep
iter return:dep
return iter:dep
item return:dep
return item:dep
object array:compound
array object:compound
array item:nmod
item array:nmod
exclud item:case
item array:nmod
array item:nmod
num element:compound
element num:compound
element return:dep
return element:dep
head element:nmod
element head:nmod
list head:nmod
head list:nmod
list element:nmod
element list:nmod
num element:compound
element num:compound
num element:compound
element num:compound
element return:dep
return element:dep
head element:nmod
element head:nmod
sort set head:nmod
head sort set:nmod
sort set element:nmod
element sort set:nmod
num element:compound
element num:compound
num element:compound
element num:compound
element return:dep
return element:dep
head element:nmod
element head:nmod
array head:nmod
head array:nmod
num element:compound
element num:compound
num element:compound
element num:compound
element return:dep
return element:dep
head element:nmod
element head:nmod
iter head:nmod
head iter:nmod
iter element:nmod
element iter:nmod
num element:compound
element num:compound
add item:obj
iter item:nmod
item iter:nmod
add collect:obl
add item:obj
iter item:nmod
item iter:nmod
add collect:obl
map return:dep
return map:dep
num element:compound
element num:compound
map head:nmod
head map:nmod
map instanc:compound
instanc map:compound
order instanc:nsubj
order return:advcl
return order:advcl
order key:obj
return function:nsubj
random entri:amod
num entri:compound
entri num:compound
return entri:obj
groovi default:nmod
main issu:nmod
num element:compound
element num:compound
iter return:dep
return iter:dep
element iter:nmod
iter element:nmod
iter element:nmod
element iter:nmod
origin iter:amod
step iter:nsubj
num element:compound
element num:compound
step element:obl
num element:compound
element num:compound
element return:dep
return element:dep
tail element:nmod
element tail:nmod
array tail:nmod
tail array:nmod
num element:compound
element num:compound
num element:compound
element num:compound
element return:dep
return element:dep
tail element:nmod
element tail:nmod
list tail:nmod
tail list:nmod
list element:nmod
element list:nmod
num element:compound
element num:compound
num element:compound
element num:compound
element return:dep
return element:dep
tail element:nmod
element tail:nmod
sort set tail:nmod
tail sort set:nmod
sort set element:nmod
element sort set:nmod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
head element:nmod
element head:nmod
list head:nmod
head list:nmod
empti list:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
head element:nmod
element head:nmod
list head:nmod
head list:nmod
empti list:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
head element:nmod
element head:nmod
iter head:nmod
head iter:nmod
empti list:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
head element:nmod
element head:nmod
array head:nmod
head array:nmod
empti array:amod
num element:nummod
element num:nummod
drop number:obj
key valu:compound
valu key:compound
valu number:nmod
number valu:nmod
drop pair:nsubj
head pair:nmod
pair head:nmod
map head:nmod
head map:nmod
map instanc:compound
instanc map:compound
order instanc:nsubj
order drop:advcl
drop order:advcl
order key:obj
drop function:nsubj
random entri:amod
num entri:compound
entri num:compound
drop entri:obj
groovi default:nmod
main issu:nmod
empti map:amod
num element:nummod
element num:nummod
drop number:obj
element number:nmod
number element:nmod
head element:nmod
element head:nmod
iter head:nmod
head iter:nmod
origin iter:amod
step iter:nsubj
num element:compound
element num:compound
step element:obl
drop number:obj
element number:nmod
number element:nmod
tail element:nmod
element tail:nmod
sort set tail:nmod
tail sort set:nmod
empti sort set:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
tail element:nmod
element tail:nmod
list tail:nmod
tail list:nmod
empti list:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
tail element:nmod
element tail:nmod
iter tail:nmod
tail iter:nmod
empti list:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
tail element:nmod
element tail:nmod
iter tail:nmod
tail iter:nmod
empti iter:amod
num element:compound
element num:compound
drop number:obj
element number:nmod
number element:nmod
tail element:nmod
element tail:nmod
array tail:nmod
tail array:nmod
empti array:amod
num element:nummod
element num:nummod
evalu return:nsubj
longest prefix:amod
prefix return:dep
return prefix:dep
list prefix:nmod
prefix list:nmod
pass element:nsubj
pass return:acl
closur condit:compound
condit closur:compound
pass condit:obl
true evalu:advcl
evalu true:advcl
preserv attempt:xcomp
attempt preserv:xcomp
preserv type:obj
origin list:amod
list type:nmod
type list:nmod
evalu closur:nsubj
evalu element:acl
true evalu:advcl
evalu true:advcl
evalu return:nsubj
collect return:dep
return collect:dep
longest prefix:amod
element prefix:nmod
prefix element:nmod
pass element:nsubj
pass iter:acl
pass closur:obl
true evalu:advcl
evalu true:advcl
pass element:nsubj
pass element:acl
pass closur:obl
evalu continu:ccomp
continu evalu:ccomp
true evalu:advcl
evalu true:advcl
evalu return:nsubj
longest prefix:amod
prefix return:dep
return prefix:dep
sort set prefix:nmod
prefix sort set:nmod
pass element:nsubj
pass return:acl
closur condit:compound
condit closur:compound
pass condit:obl
true evalu:advcl
evalu true:advcl
preserv attempt:xcomp
attempt preserv:xcomp
preserv type:obj
origin sort set:amod
sort set type:nmod
type sort set:nmod
evalu closur:nsubj
evalu element:acl
true evalu:advcl
evalu true:advcl
evalu return:nsubj
longest prefix:amod
prefix return:dep
return prefix:dep
array prefix:nmod
prefix array:nmod
pass element:nsubj
pass return:acl
pass closur:obl
true evalu:advcl
evalu true:advcl
evalu closur:nsubj
evalu element:acl
true evalu:advcl
evalu true:advcl
evalu return:nsubj
longest prefix:amod
prefix return:dep
return prefix:dep
element prefix:nmod
prefix element:nmod
iter element:nmod
element iter:nmod
pass element:nsubj
pass return:acl
condit closur:compound
closur condit:compound
pass closur:obl
true evalu:advcl
evalu true:advcl
pass element:nsubj
pass element:acl
pass closur:obl
evalu continu:ccomp
continu evalu:ccomp
true evalu:advcl
evalu true:advcl
suffix return:dep
return suffix:dep
sort set suffix:nmod
suffix sort set:nmod
drop element:nsubj
drop return:dep
drop front:obl
evalu closur:nsubj
evalu drop:advcl
drop evalu:advcl
true evalu:advcl
evalu true:advcl
preserv attempt:xcomp
attempt preserv:xcomp
preserv type:obj
origin sort set:amod
sort set type:nmod
type sort set:nmod
true evalu:advcl
evalu true:advcl
drop element:nsubj
drop evalu:advcl
evalu drop:advcl
drop front:obl
sort set front:nmod
front sort set:nmod
suffix return:dep
return suffix:dep
list suffix:nmod
suffix list:nmod
drop element:nsubj
drop return:dep
drop front:obl
evalu closur:nsubj
evalu drop:advcl
drop evalu:advcl
true evalu:advcl
evalu true:advcl
preserv attempt:xcomp
attempt preserv:xcomp
preserv type:obj
origin list:amod
list type:nmod
type list:nmod
true evalu:advcl
evalu true:advcl
drop element:nsubj
drop evalu:advcl
evalu drop:advcl
drop front:obl
list front:nmod
front list:nmod
suffix return:dep
return suffix:dep
iter suffix:nmod
suffix iter:nmod
drop element:nsubj
drop return:dep
drop front:obl
evalu closur:nsubj
evalu drop:advcl
drop evalu:advcl
true evalu:advcl
evalu true:advcl
true evalu:advcl
evalu true:advcl
drop element:nsubj
drop evalu:advcl
evalu drop:advcl
drop front:obl
iter front:nmod
front iter:nmod
creat suffix:obj
array suffix:nmod
suffix array:nmod
drop array:acl
drop front:obl
origin array:amod
array front:nmod
front array:nmod
call evalu:csubj
evalu call:csubj
closur condit:compound
condit closur:compound
call condit:obj
evalu drop:ccomp
drop evalu:ccomp
true evalu:advcl
evalu true:advcl
pass evalu:advcl
evalu pass:advcl
drop element:compound
pass element:obl
drop continu:xcomp
continu drop:xcomp
evalu element:nsubj
evalu drop:ccomp
drop evalu:ccomp
true evalu:advcl
evalu true:advcl
drop element:nsubj
drop evalu:advcl
evalu drop:advcl
drop front:obl
array front:nmod
front array:nmod
convert iter:obj
convert collect:obl
origin iter:amod
iter return:dep
return iter:dep
collect return:dep
return collect:dep
iter version:compound
version iter:compound
list version:nmod
version list:nmod
convert iter:obj
convert list:obl
origin iter:amod
iter return:dep
return iter:dep
list return:dep
return list:dep
object instanc:compound
instanc object:compound
coerc instanc:obj
boolean valu:amod
coerc valu:obl
coerc object:nsubj
true coerc:advcl
coerc true:advcl
null coerc:advcl
coerc null:advcl
fals null:advcl
null fals:advcl
boolean instanc:amod
coerc instanc:obj
boolean valu:amod
coerc valu:obl
collect instanc:compound
instanc collect:compound
coerc instanc:obj
boolean valu:amod
coerc valu:obl
coerc collect:nsubj
true collect:nsubj
fals coerc:advcl
coerc fals:advcl
empti coerc:advcl
coerc empti:advcl
true coerc:conj
coerc true:conj
map instanc:compound
instanc map:compound
coerc instanc:obj
boolean valu:amod
coerc valu:obl
coerc map:nsubj
true map:nsubj
fals coerc:advcl
coerc fals:advcl
empti coerc:advcl
coerc empti:advcl
true coerc:conj
coerc true:conj
iter instanc:compound
instanc iter:compound
coerc instanc:obj
boolean valu:amod
coerc valu:obl
coerc iter:nsubj
fals coerc:advcl
coerc fals:advcl
iter element:acl
true element:conj
enumer instanc:compound
instanc enumer:compound
coerc instanc:obj
boolean valu:amod
coerc valu:obl
coerc enumer:nsubj
fals coerc:advcl
coerc fals:advcl
enumer element:acl
true element:conj
object array:compound
array object:compound
coerc array:obj
boolean valu:amod
coerc valu:obl
object array:compound
array object:compound
fals array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
byte array:compound
array byte:compound
coerc array:obj
boolean valu:amod
coerc valu:obl
byte array:compound
array byte:compound
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
short array:amod
coerc array:obj
boolean valu:amod
coerc valu:obl
short array:amod
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
int array:compound
array int:compound
coerc array:obj
boolean valu:amod
coerc valu:obl
int array:compound
array int:compound
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
long array:amod
coerc array:obj
boolean valu:amod
coerc valu:obl
long array:amod
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
float array:compound
array float:compound
coerc array:obj
boolean valu:amod
coerc valu:obl
float array:compound
array float:compound
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
doubl array:amod
coerc array:obj
boolean valu:amod
coerc valu:obl
doubl array:amod
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
boolean array:amod
coerc array:obj
boolean valu:amod
coerc valu:obl
boolean array:amod
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
char array:compound
array char:compound
coerc array:obj
boolean valu:amod
coerc valu:obl
char array:compound
array char:compound
fals array:nsubj
true array:nsubj
array length:nsubj
length array:nsubj
fals length:advcl
true fals:conj
fals true:conj
coerc charact:obj
boolean valu:amod
coerc valu:obl
coerc charact:nsubj
fals coerc:advcl
coerc fals:advcl
charact valu:compound
valu charact:compound
coerc valu:advcl
equal valu:acl
equal valu:acl
true equal:obl
equal true:obl
coerc number:obj
boolean valu:amod
coerc valu:obl
coerc number:nsubj
true number:nsubj
fals coerc:advcl
coerc fals:advcl
doubl valu:amod
equal valu:nsubj
equal valu:nsubj
equal coerc:advcl
coerc equal:advcl
equal coerc:advcl
coerc equal:advcl
true equal:obl
equal true:obl
true coerc:conj
coerc true:conj
convert collect:obj
convert type:obl
default type:compound
type default:compound
concret type:amod
set list:acl
sort set list:conj
list sort set:conj
defer call:nsubj
collect type:nsubj
type collect:nsubj
return type:advcl
return instanc:nsubj
convert array:obj
list array:nmod
array list:nmod
set list:acl
convert sort set:obj
sort set array:conj
array sort set:conj
defer call:nsubj
coerc closur:obj
coerc implement:obl
class implement:nmod
implement class:nmod
assum class:nsubj
assum interfac:xcomp
assum class:xcomp
class interfac:conj
interfac class:conj
singl definit:amod
method definit:compound
definit method:compound
definit interfac:nmod
interfac definit:nmod
singl method:amod
method implement:nmod
implement method:nmod
coerc map:obj
type map:nmod
map type:nmod
map key:nmod
key map:nmod
valu closur:nsubj
closur valu:nsubj
behav closur:acl
method implement:compound
implement method:compound
behav implement:obl
creat list:obj
ident content:amod
creat content:obl
creat content:obl
list content:nmod
content list:nmod
revers order:amod
order content:nmod
content order:nmod
revers element:obj
list element:nmod
element list:nmod
true mutat:nsubj
true modifi:advcl
modifi true:advcl
origin list:amod
modifi list:nsubj
return list:nsubj
modifi place:obl
return modifi:conj
modifi return:conj
produc list:nsubj
revers item:amod
creat array:obj
revers order:amod
revers item:obj
revers array:obl
true mutat:nsubj
true modifi:advcl
modifi true:advcl
origin array:amod
modifi array:nsubj
return array:nsubj
modifi place:obl
return modifi:conj
modifi return:conj
produc array:nsubj
revers item:amod
revers iter:obj
origin iter:amod
exhaust element:obl
revers valu:amod
determin valu:obj
return iter:nsubj
revers valu:amod
iter valu:obl
creat array:obj
creat union:obl
array union:nmod
union array:nmod
creat array:obj
origin array:amod
addit element:amod
append element:amod
element array:nmod
array element:nmod
creat array:obj
origin array:amod
creat array:obj
origin array:amod
creat collect:obj
creat union:obl
collect union:nmod
union collect:nmod
left collect:amod
return collect:amod
set list:obj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat collect:obj
creat union:obl
iter union:nmod
union iter:nmod
left iter:amod
return collect:amod
set list:obj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat collect:obj
creat union:obl
collect union:nmod
union collect:nmod
iter union:nmod
union iter:nmod
iter collect:conj
collect iter:conj
left collect:amod
return collect:amod
set list:obj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat list:obj
creat union:obl
list union:nmod
union list:nmod
iter union:nmod
union iter:nmod
iter list:conj
list iter:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat list:obj
creat union:obl
list union:nmod
union list:nmod
collect union:nmod
union collect:nmod
collect list:conj
list collect:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
set creat:dep
creat set:dep
set union:obl
iter union:nmod
union iter:nmod
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
set creat:dep
creat set:dep
set union:obl
collect union:nmod
union collect:nmod
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat sort set:obj
creat union:obl
sort set union:nmod
union sort set:nmod
iter union:nmod
union iter:nmod
iter sort set:conj
sort set iter:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat sort set:obj
creat union:obl
sort set union:nmod
union sort set:nmod
collect union:nmod
union collect:nmod
collect sort set:conj
sort set collect:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat list:obj
insert creat:advcl
creat insert:advcl
iter element:nmod
element iter:nmod
insert element:obl
list element:nmod
element list:nmod
index list:nmod
list index:nmod
creat collect:obj
creat union:obl
collect union:nmod
union collect:nmod
object union:nmod
union object:nmod
object collect:conj
collect object:conj
return collect:amod
set list:obj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat collect:obj
creat union:obl
iter union:nmod
union iter:nmod
object union:nmod
union object:nmod
object iter:conj
iter object:conj
return collect:amod
set list:obj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat list:obj
creat union:obl
list union:nmod
union list:nmod
object union:nmod
union object:nmod
object list:conj
list object:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
set creat:dep
creat set:dep
set union:obl
object union:nmod
union object:nmod
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
creat sort set:obj
creat union:obl
sort set union:nmod
union sort set:nmod
object union:nmod
union object:nmod
object sort set:conj
sort set object:conj
creat oper:nsubj
creat object:obj
creat result:obl
remain operand:nsubj
remain creat:advcl
creat remain:advcl
unchang remain:xcomp
remain unchang:xcomp
iter variant:compound
variant iter:compound
compos collect:nsubj
compos creat:ccomp
creat compos:ccomp
compos element:obl
iter element:nmod
element iter:nmod
repeat compos:dep
compos repeat:dep
compos number:obj
time number:nmod
number time:nmod
ad element:obl
multipl refer:amod
ad refer:nsubj
instanc refer:nmod
refer instanc:nmod
ad note:ccomp
note ad:ccomp
support duplic:obj
return method:nsubj
return note:appos
return collect:obj
singl copi:amod
